date,tavg,anomaly_score,anomaly
2022-04-07,4.6,-1,True
2022-04-08,9.9,-1,True
2022-04-09,17.6,-1,True
2022-04-10,7.2,-1,True
2022-04-11,7.6,-1,True
2022-04-12,7.3,-1,True
2022-04-13,-0.6,1,False
2022-04-14,6.2,-1,True
2022-04-15,8.6,-1,True
2022-04-16,5.4,-1,True
2022-04-17,9.3,-1,True
2022-04-18,6.7,-1,True
2022-04-19,14.7,-1,True
2022-04-20,15.3,-1,True
2022-04-21,15.7,-1,True
2022-04-22,17.5,-1,True
2022-04-23,11.3,-1,True
2022-04-24,7.0,-1,True
2022-04-25,6.7,-1,True
2022-04-26,12.8,-1,True
2022-04-27,15.5,-1,True
2022-04-28,16.6,-1,True
2022-04-29,12.5,-1,True
2022-04-30,12.0,-1,True
2022-05-01,9.5,-1,True
2022-05-02,4.3,1,False
2022-05-03,5.8,-1,True
2022-05-04,6.6,-1,True
2022-05-05,12.2,-1,True
2022-05-06,18.8,-1,True
2022-05-07,19.8,-1,True
2022-05-08,15.2,-1,True
2022-05-09,13.9,-1,True
2022-05-10,13.5,-1,True
2022-05-11,18.8,-1,True
2022-05-12,16.0,-1,True
2022-05-13,17.6,-1,True
2022-05-14,19.1,-1,True
2022-05-15,18.3,-1,True
2022-05-16,19.0,-1,True
2022-05-17,20.1,-1,True
2022-05-18,20.8,-1,True
2022-05-19,21.1,-1,True
2022-05-20,2.4,1,False
2022-05-21,3.8,1,False
2022-05-22,9.0,-1,True
2022-05-23,10.1,-1,True
2022-05-24,8.2,-1,True
2022-05-25,13.2,-1,True
2022-05-26,18.6,-1,True
2022-05-27,22.2,-1,True
2022-05-28,20.5,-1,True
2022-05-29,15.9,-1,True
2022-05-30,12.9,-1,True
2022-05-31,9.1,-1,True
2022-06-01,8.6,-1,True
2022-06-02,13.7,-1,True
2022-06-03,16.6,-1,True
2022-06-04,19.3,-1,True
2022-06-05,19.9,-1,True
2022-06-06,17.6,-1,True
2022-06-07,18.0,-1,True
2022-06-08,18.0,-1,True
2022-06-09,20.9,-1,True
2022-06-10,23.8,-1,True
2022-06-11,28.5,-1,True
2022-06-12,25.4,-1,True
2022-06-13,27.8,-1,True
2022-06-14,20.3,-1,True
2022-06-15,22.5,-1,True
2022-06-16,23.6,-1,True
2022-06-17,24.8,-1,True
2022-06-18,25.0,-1,True
2022-06-19,24.8,-1,True
2022-06-20,24.0,-1,True
2022-06-21,20.4,-1,True
2022-06-22,20.2,-1,True
2022-06-23,24.3,-1,True
2022-06-24,23.4,-1,True
2022-06-25,18.0,-1,True
2022-06-26,15.7,-1,True
2022-06-27,20.0,-1,True
2022-06-28,23.7,-1,True
2022-06-29,25.3,-1,True
2022-06-30,22.2,-1,True
2022-07-01,20.3,-1,True
2022-07-02,22.3,-1,True
2022-07-03,23.7,-1,True
2022-07-04,25.3,-1,True
2022-07-05,24.0,-1,True
2022-07-06,20.8,-1,True
2022-07-07,21.8,-1,True
2022-07-08,24.3,-1,True
2022-07-09,28.2,-1,True
2022-07-10,28.6,-1,True
2022-07-11,20.8,-1,True
2022-07-12,23.4,-1,True
2022-07-13,25.5,-1,True
2022-07-14,27.9,-1,True
2022-07-15,26.1,-1,True
2022-07-16,25.2,-1,True
2022-07-17,27.5,-1,True
2022-07-18,28.4,-1,True
2022-07-19,30.0,-1,True
2022-07-20,25.4,-1,True
2022-07-21,26.4,-1,True
2022-07-22,28.5,-1,True
2022-07-23,25.0,-1,True
2022-07-24,19.1,-1,True
2022-07-25,23.4,-1,True
2022-07-26,23.5,-1,True
2022-07-27,22.8,-1,True
2022-07-28,19.2,-1,True
2022-07-29,20.9,-1,True
2022-07-30,23.9,-1,True
2022-07-31,25.4,-1,True
2022-08-01,25.1,-1,True
2022-08-02,27.1,-1,True
2022-08-03,25.8,-1,True
2022-08-04,26.5,-1,True
2022-08-05,26.6,-1,True
2022-08-06,24.1,-1,True
2022-08-07,22.5,-1,True
2022-08-08,23.0,-1,True
2022-08-09,25.8,-1,True
2022-08-10,26.3,-1,True
2022-08-11,25.9,-1,True
2022-08-12,26.5,-1,True
2022-08-13,25.0,-1,True
2022-08-14,24.2,-1,True
2022-08-15,20.6,-1,True
2022-08-16,19.2,-1,True
2022-08-17,21.5,-1,True
2022-08-18,23.1,-1,True
2022-08-19,21.8,-1,True
2022-08-20,19.3,-1,True
2022-08-21,19.6,-1,True
2022-08-22,21.6,-1,True
2022-08-23,22.5,-1,True
2022-08-24,22.2,-1,True
2022-08-25,20.5,-1,True
2022-08-26,21.3,-1,True
2022-08-27,23.2,-1,True
2022-08-28,26.0,-1,True
2022-08-29,22.7,-1,True
2022-08-30,23.9,-1,True
2022-08-31,23.8,-1,True
2022-09-01,24.3,-1,True
2022-09-02,25.0,-1,True
2022-09-03,23.7,-1,True
2022-09-04,24.7,-1,True
2022-09-05,26.0,-1,True
2022-09-06,26.8,-1,True
2022-09-07,26.1,-1,True
2022-09-08,25.7,-1,True
2022-09-09,12.8,-1,True
2022-09-10,9.2,-1,True
2022-09-11,14.8,-1,True
2022-09-12,20.0,-1,True
2022-09-13,20.6,-1,True
2022-09-14,19.3,-1,True
2022-09-15,18.2,-1,True
2022-09-16,18.6,-1,True
2022-09-17,19.1,-1,True
2022-09-18,18.6,-1,True
2022-09-19,22.4,-1,True
2022-09-20,24.3,-1,True
2022-09-21,14.4,-1,True
2022-09-22,10.4,-1,True
2022-09-23,18.5,-1,True
2022-09-24,17.8,-1,True
2022-09-25,15.7,-1,True
2022-09-26,18.3,-1,True
2022-09-27,17.8,-1,True
2022-09-28,18.3,-1,True
2022-09-29,19.8,-1,True
2022-09-30,16.5,-1,True
2022-10-01,14.5,-1,True
2022-10-02,14.7,-1,True
2022-10-03,14.3,-1,True
2022-10-04,12.4,-1,True
2022-10-05,14.0,-1,True
2022-10-06,14.4,-1,True
2022-10-07,6.8,-1,True
2022-10-08,11.0,-1,True
2022-10-09,13.4,-1,True
2022-10-10,15.2,-1,True
